epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,33.0282,0.56011,5.80406,0.00468,0.00381,0.95745,0.40919,0.34125,0.49999,9.54402,0.00364,0.000536506,0.000536506,0.000536506
2,41.2022,0.65104,4.66022,0.00566,0.00356,0.97872,0.68291,0.53235,0.68442,9.28233,0.00465,0.00105613,0.00105613,0.00105613
3,48.6886,0.74738,3.87603,0.00627,1,0.42591,0.9474,0.80259,0.67627,7.69613,0.00477,0.00153908,0.00153908,0.00153908
4,55.743,0.74096,3.46185,0.00639,0.87987,0.93502,0.96872,0.82781,0.70929,5.77652,0.00497,0.00150197,0.00150197,0.00150197
5,62.7529,0.68841,2.86784,0.00575,0.9066,0.91489,0.96461,0.86627,0.56873,4.47587,0.00421,0.00144696,0.00144696,0.00144696
6,69.5769,0.67159,2.47036,0.00554,0.91479,0.93617,0.97698,0.87187,0.54829,3.52491,0.00412,0.00139195,0.00139195,0.00139195
7,76.7943,0.63203,2.07559,0.0051,0.95482,0.89944,0.97855,0.89131,0.4661,3.00943,0.0033,0.00133693,0.00133693,0.00133693
8,83.8055,0.6396,1.86111,0.00538,0.92405,0.93617,0.97726,0.81127,0.74755,2.78989,0.00555,0.00128192,0.00128192,0.00128192
9,90.7344,0.62082,1.64428,0.00533,0.8832,0.96545,0.97811,0.90604,0.44354,2.26464,0.00292,0.00122691,0.00122691,0.00122691
10,97.6346,0.61861,1.37596,0.00527,1,0.90595,0.98654,0.87493,0.57112,2.02119,0.00407,0.0011719,0.0011719,0.0011719
11,104.913,0.58321,1.2523,0.00479,0.97796,1,0.99417,0.89689,0.45687,1.66559,0.00347,0.00111689,0.00111689,0.00111689
12,111.417,0.5633,1.165,0.00477,0.99196,0.93617,0.98209,0.86952,0.57275,1.52145,0.00386,0.00106188,0.00106188,0.00106188
13,117.368,0.54591,0.99696,0.00443,0.99586,0.95745,0.98745,0.90008,0.47569,1.29001,0.00329,0.00100687,0.00100687,0.00100687
14,123.984,0.53846,0.8985,0.00489,0.97817,0.95348,0.98628,0.93923,0.40863,1.13536,0.00272,0.000951857,0.000951857,0.000951857
15,131.082,0.56105,0.82323,0.0047,0.99892,1,0.995,0.92767,0.40808,0.9846,0.00267,0.000896846,0.000896846,0.000896846
16,137.134,0.54884,0.77592,0.00452,0.9729,0.97872,0.99008,0.89379,0.476,0.96308,0.00346,0.000841835,0.000841835,0.000841835
17,143.695,0.53052,0.71053,0.0043,0.99796,0.97872,0.99209,0.93577,0.37488,0.82921,0.00256,0.000786824,0.000786824,0.000786824
18,150.541,0.53938,0.68054,0.00467,1,0.96071,0.99418,0.93974,0.38579,0.82158,0.00271,0.000731813,0.000731813,0.000731813
19,157.462,0.51197,0.61512,0.00422,0.97062,0.97872,0.98818,0.9255,0.37553,0.71686,0.00246,0.000676802,0.000676802,0.000676802
20,164.948,0.47361,0.58617,0.00401,0.96959,0.97872,0.99252,0.88723,0.57213,0.73659,0.00397,0.000621791,0.000621791,0.000621791
21,196.053,0.41751,0.71831,0.004,1,0.93208,0.99181,0.92033,0.38668,0.67415,0.00261,0.00056678,0.00056678,0.00056678
22,203.395,0.37677,0.65656,0.00385,0.97814,0.95195,0.99217,0.92437,0.43172,0.616,0.00296,0.000511769,0.000511769,0.000511769
23,209.738,0.36971,0.61619,0.00364,1,0.9535,0.9926,0.90627,0.43606,0.58103,0.00296,0.000456758,0.000456758,0.000456758
24,215.535,0.33237,0.55808,0.00315,0.97812,0.95135,0.99064,0.91387,0.42718,0.57339,0.00287,0.000401747,0.000401747,0.000401747
25,221.517,0.33796,0.52183,0.00317,0.95517,1,0.99293,0.92584,0.38958,0.52141,0.00266,0.000346736,0.000346736,0.000346736
26,227.439,0.31742,0.51427,0.00303,1,0.95346,0.99418,0.89101,0.50787,0.51904,0.00357,0.000291725,0.000291725,0.000291725
27,233.684,0.31921,0.49141,0.00297,0.95797,0.97008,0.98917,0.92899,0.40387,0.50874,0.00277,0.000236714,0.000236714,0.000236714
28,239.909,0.30499,0.45634,0.00282,0.94791,0.97872,0.99085,0.9011,0.43987,0.49767,0.00311,0.000181703,0.000181703,0.000181703
29,245.894,0.30018,0.47469,0.00273,0.95097,1,0.99293,0.91711,0.41517,0.46908,0.00286,0.000126692,0.000126692,0.000126692
30,251.653,0.27996,0.43254,0.00267,0.93711,1,0.99173,0.92168,0.38631,0.46573,0.00261,7.1681e-05,7.1681e-05,7.1681e-05
