epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4865,0.66921,7.75875,0.00433,0.00104,0.31915,0.14088,0.11799,0.44593,9.72512,0.00331,0.000615385,0.000615385,0.000615385
2,24.8249,0.69228,6.17418,0.00429,0.00146,0.44681,0.11524,0.0914,0.67919,9.54239,0.00524,0.00121859,0.00121859,0.00121859
3,28.1576,0.82403,5.65033,0.00565,0.00049,0.14894,0.00018,0.0001,0.54753,9.27308,0.00408,0.00175579,0.00175579,0.00175579
4,31.2648,0.7494,5.16679,0.00508,0.00278,0.85106,0.32276,0.25632,0.60842,8.62022,0.00434,0.001703,0.001703,0.001703
5,34.4151,0.79013,4.86015,0.00541,0.00319,0.97872,0.7574,0.63503,0.60944,7.9917,0.00478,0.001604,0.001604,0.001604
6,37.7631,0.63259,4.3438,0.00468,0.28091,0.95745,0.83088,0.73745,0.57737,7.46571,0.00418,0.001505,0.001505,0.001505
7,41.4901,0.81101,4.03517,0.00558,0.96939,0.67385,0.94046,0.79632,0.65413,6.4304,0.00472,0.001406,0.001406,0.001406
8,44.549,0.76388,3.66201,0.00568,0.95189,0.76596,0.94032,0.81417,0.64938,5.50627,0.00498,0.001307,0.001307,0.001307
9,47.5508,0.61894,3.53494,0.00427,0.89445,0.89362,0.94686,0.85171,0.5463,4.87195,0.00374,0.001208,0.001208,0.001208
10,50.4945,0.64824,2.72109,0.00399,0.91276,0.89052,0.9639,0.84735,0.6117,4.28601,0.00428,0.001109,0.001109,0.001109
11,77.9081,0.56157,4.34578,0.00428,0.93269,0.88455,0.96154,0.87186,0.45737,3.81378,0.00309,0.00101,0.00101,0.00101
12,81.9705,0.60146,4.05852,0.00514,0.93662,0.85106,0.96487,0.81902,0.68227,3.65936,0.00484,0.000911,0.000911,0.000911
13,85.2603,0.51731,3.76098,0.00408,0.84256,0.911,0.93955,0.87112,0.42184,3.11411,0.00279,0.000812,0.000812,0.000812
14,88.8877,0.48083,3.56854,0.004,0.90521,0.89362,0.95494,0.89914,0.41744,2.84891,0.00288,0.000713,0.000713,0.000713
15,92.5331,0.43644,3.34917,0.00339,0.94914,0.93617,0.97221,0.91299,0.39805,2.65739,0.00265,0.000614,0.000614,0.000614
16,95.9563,0.43264,3.24615,0.00323,0.93634,0.93887,0.97312,0.85906,0.50914,2.60248,0.00342,0.000515,0.000515,0.000515
17,98.9187,0.44155,3.0115,0.00338,0.91859,0.91489,0.96669,0.90214,0.41584,2.46085,0.00272,0.000416,0.000416,0.000416
18,101.869,0.45459,2.97201,0.00333,0.8821,0.95518,0.9635,0.90279,0.4188,2.42604,0.00278,0.000317,0.000317,0.000317
19,104.815,0.48198,2.8993,0.00354,0.87777,0.95745,0.95803,0.89858,0.42252,2.39165,0.00283,0.000218,0.000218,0.000218
20,107.843,0.40778,2.92763,0.00314,0.86124,0.95745,0.95824,0.89863,0.39916,2.36618,0.00259,0.000119,0.000119,0.000119
